number,editorial_year,publication_date,summary,url,text_file
10,Ano 1,Out. / 1993,"Esta edição aborda a natureza da Teoria dos Conjuntos, defendendo o estudo do infinito em vez de terminologias complexas. Este número explora a relação entre consistência matemática e a reflexão sobre a realidade, questionando as bases filosóficas das teorias matemáticas.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim010.pdf,Folhetim010.txt
11,Ano 1,Out. / 1993,"Esta edição aborda a história e o significado da Medalha Fields, um prêmio de grande prestígio em Matemática. Este número explora a relação entre matemática, abstração e outras áreas do conhecimento, como arte e filosofia, buscando uma compreensão complementar da realidade.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim011.pdf,Folhetim011.txt
12,Ano 1,Out. / 1993,"Esta edição aborda a natureza da consistência matemática, explorando conceitos como radiciação e o Teorema Fundamental da Álgebra de Gauss. Este número explora a importância do desenvolvimento do pensamento matemático e a necessidade de um referencial pedagógico centrado no aluno para uma aprendizagem eficaz.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim012.pdf,Folhetim012.txt
13,Ano 1,Out. / 1993,"Esta edição aborda a metodologia de ensino da matemática, focando na importância do aprendizado através dos erros e contraexemplos para o desenvolvimento do raciocínio. O texto explora como introduzir conceitos matemáticos, como potências, utilizando exemplos concretos e a busca pela dúvida como motor da aprendizagem.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim013.pdf,Folhetim013.txt
14,Ano 1,Nov. / 1993,"Esta edição aborda a questão da soma com infinitas parcelas e o resultado finito, explorando as tensões entre realismo (Matemática como descoberta das essências) e construtivismo (Matemática como livre criação da mente humana). Este número examina os fundamentos filosóficos que moldam a percepção matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim014.pdf,Folhetim014.txt
15,Ano 1,Nov. / 1993,"Esta edição aborda a origem dos princípios lógicos, como identidade, contradição e terceiro excluído, discutindo a lógica clássica e o papel da convenção na matemática. Este número explora como as teorias científicas foram influenciadas por conceitos matemáticos e a visão de Poincaré sobre a geometria.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim015.pdf,Folhetim015.txt
16,Ano 1,Nov. / 1993,"Esta edição aborda a origem do conceito de função, rastreando suas raízes históricas e as contribuições de matemáticos como Oresme e Leibniz. Este número explora como a História da Matemática pode servir como guia pedagógico para revelar o lado humano da ciência, contrastando com métodos didáticos simplistas.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim016.pdf,Folhetim016.txt
17,Ano 1,Nov. / 1993,"Esta edição aborda a origem da Geometria Analítica, sua importância histórica e o contexto filosófico das inovações matemáticas do século XVII, como as contribuições de Descartes e Fermat. Este número explora também a cronologia do surgimento dos sinais matemáticos (mais, menos, maior, menor e igual), contextualizando o desenvolvimento da notação algébrica.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim017.pdf,Folhetim017.txt
18,Ano 1,Nov. / 1993,"Esta edição explora a origem e o desenvolvimento histórico do conceito de Álgebra, rastreando suas raízes no trabalho de Al-Khawarizmi e sua evolução da aritmética para as estruturas modernas, incluindo álgebra clássica e moderna.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim018.pdf,Folhetim018.txt
19,Ano 1,Dez. / 1993,"Esta edição aborda a Teoria dos Números, focando na divisão e o conceito de resto, exemplificado pela soma dos algarismos. Explora também a irracionalidade como ponto de crise histórica da Matemática, ligando-a à descoberta pitagórica.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim019.pdf,Folhetim019.txt
20,Ano 1,Dez. / 1993,"Esta edição aborda a interdependência entre Filosofia e Matemática, explorando como o saber matemático se desenvolve por meio de tentativas e erros, fantasia e a busca por um princípio único criador da pluralidade dos fenômenos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim020.pdf,Folhetim020.txt
21,Ano 1,Dez. / 1993,"Esta edição aborda a história da base decimal e as diferentes bases utilizadas por povos antigos, como os egípcios, babilônios e pré-colombianos, explorando a evolução dos sistemas numéricos e suas implicações conceituais.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim021.pdf,Folhetim021.txt
22,Ano 1,Dez. / 1993,"Esta edição aborda a discussão sobre o uso de ponto e vírgula na escrita de numerais, contrastando as normas brasileiras com as dos Estados Unidos e a questão da natureza da Matemática como ciência. Este número explora a relação entre notação matemática, metrologia e a percepção do público.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim022.pdf,Folhetim022.txt
23,Ano 1,Jan. / 1994,"Esta edição aborda a relação entre representações geométricas de produtos notáveis e os critérios de divisibilidade, explorando conceitos fundamentais da matemática. Este volume examina a natureza do fechamento do conjunto dos números naturais em relação às operações e discute reflexões filosóficas sobre o desenvolvimento da inteligência e sua aplicação no ensino.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim023.pdf,Folhetim023.txt
24,Ano 2,Mar. / 1995,"Esta edição aborda a reflexão sobre a natureza das proposições matemáticas e o papel do raciocínio dedutivo na tomada de decisões. Este número explora a distinção entre juízos de valor e verdades matemáticas, questionando a aplicabilidade da lógica matemática em contextos cotidianos e educacionais.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim024.pdf,Folhetim024.txt
25,Ano 2,Mar. / 1995,"Esta edição explora questões filosóficas e matemáticas, como a razão do horário de verão e a proibição da divisão por zero. Este número aborda o impacto das ideias matemáticas na física moderna e na cosmologia, examinando como conceitos como a divisão por zero influenciaram pensadores como Einstein.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim025.pdf,Folhetim025.txt
26,Ano 2,Mar. / 1995,"Esta edição aborda a fundamentação conceitual da geometria, explorando definições de ângulo e a distinção entre ângulos consecutivos e adjacentes. Este número explora a relação entre a linguagem comum (uso de 'ou' e 'e') e a lógica matemática, além de questões sobre coordenadas cartesianas e inclinação de retas.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim026.pdf,Folhetim026.txt
27,Ano 2,Abr. / 1995,"Esta edição aborda a relação entre linguagem comum e matemática, focando na disjunção 'ou' e suas implicações no contexto da união e interseção de conjuntos. O texto explora como essa relação se manifesta na linguagem usual e na linguagem matemática, questionando o tratamento da conjunção em diferentes contextos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim027.pdf,Folhetim027.txt
28,Ano 2,Abr. / 1995,"Esta edição explora a aplicação da matemática na resolução de problemas cotidianos e na compreensão dos fenômenos naturais, como o sistema de medidas e a noção de números irracionais. O texto aborda a importância da precisão nas unidades de medida e estabelece critérios para a abreviação de unidades, refletindo a interconexão entre matemática e o mundo físico.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim028.pdf,Folhetim028.txt
29,Ano 2,Abr. / 1995,"Esta edição explora a introdução da noção de número irracional em nível elementar, propondo o uso de frações decimais e a manipulação de aproximações para abordar este conceito. O texto discute como a irracionalidade impactou a teoria de semelhança e a álgebra, influenciando o desenvolvimento posterior da Geometria Analítica.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim029.pdf,Folhetim029.txt
30,Ano 2,Mai. / 1995,"Esta edição explora a relação entre memória, ensino e o processo de aprendizagem da Matemática. A presente edição analisa os mandamentos para o ensino matemático, enfatizando a necessidade de cautela pedagógica e a importância de desenvolver no aluno o know-how, o hábito de trabalho metódico e a capacidade de fazer palpites antes de descobrir as soluções.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim030.pdf,Folhetim030.txt
31,Ano 2,Mai. / 1995,"Esta edição explora a origem da designação de frações como ordinárias, rastreando suas raízes nas generalizações dos números naturais feitas pelos babilônios e egípcios antigos. O texto discute o Papiro de Rhind e as limitações matemáticas antigas, incluindo a referência à constante de Planck como um limite extremo de divisibilidade.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim031.pdf,Folhetim031.txt
32,Ano 2,Mai. / 1995,"Este número explora a transição entre a Geometria de Euclides e os números não standard, introduzindo o conceito de números hiper-reais. A presente edição analisa como as premissas (axiomas) fundamentam a demonstração matemática e discute a aplicação desses novos números na análise não standard para provar teoremas.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim032.pdf,Folhetim032.txt
33,Ano 2,Jun. / 1995,"Esta edição explora a natureza da fatoração e divisibilidade em equações, contrastando-as com o conceito de fatoração de polinômios. O texto discute a necessidade de fatores inteiros na fatoração e faz referência histórica à matemática grega, incluindo a importância de Hipácia como mulher matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim033.pdf,Folhetim033.txt
34,Ano 2,Jun. / 1995,"Este número explora a crítica ao ensino de matemática, argumentando que as metodologias atuais são reacionárias e anti-autônomas. O texto questiona a falta de motivação dos alunos para resolver problemas matemáticos e a ausência do ensino dos mecanismos fundamentais de análise, síntese, abstração e generalização.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim034.pdf,Folhetim034.txt
35,Ano 2,Jun. / 1995,"Esta edição aborda a crítica ao ensino atual da Matemática, questionando programas obsoletos e a apresentação da disciplina como dogma. O texto explora a necessidade de reavaliar o ensino no ciclo básico e a importância da interdisciplinaridade, focando nas dúvidas dos alunos e professores sobre a natureza do conhecimento matemático.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim035.pdf,Folhetim035.txt
36,Ano 2,Jun. / 1995,"Esta edição aborda a fundamentação dos números reais, explorando as classificações de segmentos e introduzindo o conceito de números inteiros, fracionários e irracionais como formas de medida para grandezas geométricas. O texto também tangencia a validade das inferências cotidianas, discutindo raciocínios lógicos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim036.pdf,Folhetim036.txt
37,Ano 2,Jul. / 1995,"Esta edição explora a necessidade de uma abordagem distinta para o ensino da Lógica no ciclo básico, propondo sua integração com a Teoria dos Conjuntos e a Teoria da Probabilidade. O texto detalha como estabelecer o casamento entre Lógica e conjuntos através de tabelas-verdade, definindo operadores lógicos e operações de conjuntos. Apresenta exercícios ilustrativos sobre negação lógica.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim037.pdf,Folhetim037.txt
38,Ano 2,Jul. / 1995,"Esta edição explora a origem histórica da Geometria Analítica, destacando a contribuição de René Descartes e o estabelecimento de uma correspondência entre pontos e números reais. O texto discute como essa visão transformou o espírito matemático e a busca por um método universal para tratar os problemas humanos racionalmente.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim038.pdf,Folhetim038.txt
39,Ano 3,Ago. / 1995,"Esta edição traz um conjunto de mandamentos para professores de matemática, inspirados em George Polya. O texto sugere a importância de motivar as aulas com situações familiares, estabelecer conexões entre os assuntos e considerar as dimensões social, afetiva e bio-fisiológica do aprendizado matemático.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim039.pdf,Folhetim039.txt
40,Ano 3,Ago. / 1995,"Esta edição aborda a reflexão sobre o ensino da Matemática, focando na Teoria dos Conjuntos e nas dificuldades de demonstração de teoremas. Este número explora a complexidade computacional de problemas matemáticos, classificando-os em categorias com base nos tempos de computação necessários para sua resolução.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim040.pdf,Folhetim040.txt
41,Ano 3,Ago. / 1995,"Esta edição aborda a natureza vetorial, explorando as condições necessárias para que uma grandeza física possua direção, sentido e tamanho. O texto introduz o conceito de vetor, enfatizando os axiomas da álgebra linear como base para a dedução de teoremas na matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim041.pdf,Folhetim041.txt
42,Ano 3,Set. / 1995,"Esta edição traz uma solicitação de livros para compor uma biblioteca, focando em obras da Sociedade Brasileira de Matemática e uma crítica à matemática moderna. O número explora a importância da clareza pedagógica frente ao rigor matemático, estimulando o estudo dos aspectos históricos e filosóficos da disciplina.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim042.pdf,Folhetim042.txt
43,Ano 3,Out. / 1995,"Esta edição traz uma lista de recomendações bibliográficas para professores de matemática, incluindo obras sobre história da matemática, fundamentos, teoria dos números e conceitos como geometria e probabilidade. O material visa estimular o estudo e a curiosidade intelectual dos educadores.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim043.pdf,Folhetim043.txt
44,Ano 3,Nov. / 1995,"Esta edição traz uma solicitação de livros para a composição de uma mini-biblioteca para professores do 1º e 2º graus. O material foca na indicação de obras sobre Filosofia da Matemática, simetria (Hermann Weyl) e pensamento matemático desafiador, visando estimular o estudo e a curiosidade intelectual dos educadores.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim044.pdf,Folhetim044.txt
45,Ano 3,Dez. / 1995,"Esta edição aborda a crise profunda no ensino da Matemática, focando na aversão dos alunos e na dificuldade de percepção da disciplina. Este número explora como o pavor e a incompreensão se estabelecem nos estudantes em relação às demonstrações matemáticas, buscando uma ponte entre os que estão próximos e os distantes sobre os aspectos pedagógicos e históricos da Matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim045.pdf,Folhetim045.txt
46,Ano 3,Jan. / 1996,"Esta edição traz a divulgação de notícias relacionadas à Educação Matemática e inclui uma coluna de perguntas e respostas, focando em questões matemáticas avançadas e demonstrações lógicas. O conteúdo explora o estímulo à curiosidade intelectual e a ponte entre diferentes esferas do conhecimento matemático.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim046.pdf,Folhetim046.txt
47,Ano 3,Fev. / 1996,"Esta edição explora a natureza dos argumentos, diferenciando os tipos dedutivo e indutivo, e discute a classificação da Indução Matemática. O texto dialoga com a lógica e a probabilidade para analisar o movimento do conhecimento matemático.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim047.pdf,Folhetim047.txt
48,Ano 3,Mar. / 1996,"Esta edição aborda a natureza da estrutura matemática, explorando o conceito de estruturas fundamentais definidas por axiomas e relações. O texto discute como as descobertas históricas, como a dos irracionais na Grécia Antiga, influenciaram o desenvolvimento do pensamento matemático. Este número explora a definição de estrutura algébrica e de ordem, citando Bourbaki para fundamentar a noção de estruturas formais.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim048.pdf,Folhetim048.txt
49,Ano 3,Abr. / 1996,"Esta edição traz uma discussão sobre a organização axiomática do saber matemático, abordando termos primitivos e postulados na geometria. O texto também reflete sobre o estado da educação matemática no país e a necessidade de melhorias pedagógicas.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim049.pdf,Folhetim049.txt
50,Ano 3,Mai. / 1996,"Esta edição aborda a questão da existência de intervalos no conjunto dos números naturais, discutindo como a apresentação desses conceitos em livros didáticos pode induzir o leitor a focar apenas na reta real. O texto explora a possibilidade de intervalos nos conjuntos N, Z e Q, desafiando a representação tradicional do assunto.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim050.pdf,Folhetim050.txt
51,Ano 3,Jun. / 1996,"Esta edição aborda a discussão sobre igualdade, congruência e semelhança, explorando o conceito de identidade lógica e suas propriedades. Este número explora como a igualdade é tratada na história da filosofia e sua aplicação em matemática, buscando unir conceitos próximos e distantes.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim051.pdf,Folhetim051.txt
52,Ano 3,Jul. / 1996,"Esta edição traz uma discussão sobre a validade de demonstrações matemáticas e a revisão da teoria das potências inteiras. Este número explora o raciocínio lógico necessário para validar resultados em matemática, focando na fundamentação dos conceitos básicos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim052.pdf,Folhetim052.txt
53,Ano 4,Ago. - Dez. / 1996,"Esta edição traz um artigo de Omar Catunda sobre o ensino de matemática, discutindo a natureza da matemática como linguagem e a necessidade de um ensino dialogado em detrimento do expositivo. O texto também aborda as dificuldades na educação superior e a mentalidade necessária para a melhoria do ensino.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim053.pdf,Folhetim053.txt
54,Ano 4,Jan. - Mai. / 1997,"Esta edição traz uma discussão sobre a natureza da Educação Matemática, destacando seus objetivos e metas em relação à aquisição de competências matemáticas, o reconhecimento da diversidade educacional e a importância social da matemática. O número também inclui exercícios que exploram relações numéricas e lógica matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim054.pdf,Folhetim054.txt
55,Ano 4,Jun. / 1997,"Esta edição traz a visão do professor Carloman Carlos Borges sobre o Construtivismo e a Matemática, ilustrada com exemplos práticos. O número explora os postulados construtivistas, enfatizando a ação e o erro como fundamentais no ensino de matemática para professores de 2º grau.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim055.pdf,Folhetim055.txt
56,Ano 4,Jul. / 1997,"Esta edição traz uma discussão sobre a natureza do problema matemático, diferenciando-o de questão e explorando a motivação gerada pela necessidade de solução. O texto aplica essa distinção ao contexto da Matemática, utilizando exemplos algébricos para demonstrar o raciocínio necessário na resolução de exercícios.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim056.pdf,Folhetim056.txt
57,Ano 5,Ago. / 1997,"Esta edição traz uma reflexão sobre a natureza da criatividade matemática, buscando definições e o papel de pensadores como Laplace na invenção de ideias. Este número explora as bases filosóficas e conceituais que fundamentam o estudo da inovação no campo matemático.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim057.pdf,Folhetim057.txt
58,Ano 5,Set. / 1997,"Esta edição explora a aplicação da matemática na análise de fenômenos probabilísticos, abordando o conceito de processos estocásticos e variáveis aleatórias. Este número examina como a Teoria da Probabilidade trata problemas como a ocorrência de eventos em um mesmo lugar, conectando a matemática com a conjectura e o comportamento de resultados incertos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim058.pdf,Folhetim058.txt
59,Ano 5,Out. / 1997,"Esta edição traz uma discussão sobre a necessidade de mudança na estrutura curricular do ensino de Matemática, focando na ausência de unidade metodológica e na linearidade da aprendizagem. O texto utiliza a metáfora do circuito elétrico para ilustrar como os pré-requisitos se tornam uma camisa de força para o conhecimento matemático.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim059.pdf,Folhetim059.txt
60,Ano 5,Nov. / 1997,"Esta edição aborda as reflexões sobre o Construtivismo na educação matemática, questionando a rotulação de livros didáticos e a aplicação dos postulados construtivistas no ensino. O texto explora a tensão entre a metáfora do conhecimento como construção e a rigidez das abordagens epistemológicas.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim060.pdf,Folhetim060.txt
61,Ano 5,Dez. / 1997,"Esta edição explora a necessidade de incorporar a Modelagem Matemática ao ensino, enfatizando atividades como simulação e resolução de problemas para desenvolver faculdades mentais. A presente edição analisa o desafio de motivar os alunos com abordagens que vão além dos algoritmos tradicionais.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim061.pdf,Folhetim061.txt
62,Ano 5,Jan. / 1998,"Este número explora a retomada da questão dos Modelos Matemáticos, iniciada anteriormente. A presente edição analisa a necessidade de examinar o domínio de validade das funções matemáticas ao representar fenômenos reais, como exemplificado pela área do círculo. O texto discute a transição do aspecto qualitativo para o quantitativo na ciência e a relação entre modelos e a realidade matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim062.pdf,Folhetim062.txt
63,Ano 5,Fev. / 1998,"Esta edição explora as três ideias básicas do ensino da Matemática, sugeridas por Jean Dieudonné. Estas ideias são Aproximação, Linearidade e Probabilidade, fundamentais para a formação de futuros cientistas.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim063.pdf,Folhetim063.txt
64,Ano 5,Mar. / 1998,"Esta edição traz reflexões sobre a história e a filosofia da matemática, focando na vida de Evariste Galois e nas dicotomias pedagógicas. Este número explora as diferenças entre o pensar matemático e o cotidiano, a relação entre linguagens naturais e matemática, e o significado do computador no ensino.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim064.pdf,Folhetim064.txt
65,Ano 5,Abr. / 1998,"Esta edição explora a distinção entre linguagem natural e linguagem matemática, utilizando exemplos como cão=chien=dog e 3=2+1 para ilustrar a diferença entre denotação e o uso de símbolos. O texto aborda os riscos de um enfoque centralizado apenas na linguagem, refletindo debates históricos da Matemática Moderna.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim065.pdf,Folhetim065.txt
66,Ano 5,Mai. / 1998,"Esta edição aborda a distinção entre linguagem natural e matemática, focando nas consequências pedagógicas do ensino da matemática como um idioma estrangeiro. Este número explora a necessidade de desenvolver habilidades de resolução de problemas nos jovens para formar a futura geração de matemáticos brasileiros.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim066.pdf,Folhetim066.txt
67,Ano 5,Jun. / 1998,"Esta edição traz a coluna ""DIVERTIMENTOS MATEMÁTICOS"" para despertar a curiosidade do leitor sobre as preciosidades da matemática. O número também aborda o desafio de encontrar soluções para problemas matemáticos e a reflexão sobre questões filosóficas, como o significado do Teorema de Gôdel.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim067.pdf,Folhetim067.txt
68,Ano 5,Jul. / 1998,"Esta edição aborda a relação entre o Teorema de Gödel e a Educação Matemática. Este número explora como os resultados deste teorema se conectam com o estudo dos aspectos pedagógicos, filosóficos e históricos da Matemática, buscando construir uma ponte entre diferentes áreas do conhecimento matemático.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim068.pdf,Folhetim068.txt
69,Ano 6,Ago. / 1998,"Esta edição aborda as reflexões de Carloman Carlos Borges sobre o Teorema de Gódel e sua relação com os limites do entendimento humano. Este número explora a conexão entre o Teorema de Gódel e o Princípio da Incerteza de Heisenberg, discutindo como ambos desafiam a ideia de um conhecimento acabado na matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim069.pdf,Folhetim069.txt
70,Ano 6,set. / 1998,"Esta edição aborda a questão da matemática para todos os cidadãos, sugerindo a introdução de tópicos como probabilidade e estatística com recursos computacionais, devido ao mundo estocástico atual. Este número explora a necessidade de um discernimento metodológico superior por parte dos professores no ensino obrigatório.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim070.pdf,Folhetim070.txt
71,Ano 6,out. / 1998,"Esta edição aborda a possibilidade de calcular a área da elipse por processos elementares, partindo da área do círculo, utilizando transformações geométricas no plano cartesiano para demonstrar o conceito em nível elementar.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim071.pdf,Folhetim071.txt
72,Ano 6,Nov. / 1998,"Esta edição traz uma discussão sobre o conceito de função, explorando diversas definições apresentadas nos manuais escolares e a natureza da correspondência entre variáveis no contexto do ensino médio.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim072.pdf,Folhetim072.txt
73,Ano 6,Dez. / 1998,"Esta edição traz questões e reflexões sobre os aspectos pedagógicos, filosóficos e históricos da Matemática. Este volume examina a relação entre linguagem natural e matemática, o significado do Teorema de Gödel e a natureza dos conceitos numéricos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim073.pdf,Folhetim073.txt
74,Ano 6,Jan. / 1999,"Esta edição explora o fundamento da organização do saber matemático através da axiomática, focando na lógica e nos conceitos de termos primitivos, definições, axiomas e teoremas como base para a demonstração matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim074.pdf,Folhetim074.txt
75,Ano 6,Fev. / 1999,"Esta edição explora as convenções matemáticas, a questão do zero e o desenvolvimento de teorias matemáticas baseadas em axiomáticas. Este número também reforça aspectos da Álgebra das Matrizes e aborda discussões históricas sobre o estudo dos limites e a indeterminação matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim075.pdf,Folhetim075.txt
76,Ano 6,Mar. / 1999,"Esta edição explora o paradoxo da adimensionalidade do ponto, investigando a dimensão da reta e as relações entre totalidades e suas partes, como os números reais e seus subconjuntos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim076.pdf,Folhetim076.txt
77,Ano 6,abr. / 1999,"Esta edição traz uma reflexão sobre os Paradoxos de Zenão e a questão do infinito físico, buscando esclarecer conceitos filosóficos da matemática. Este número explora também a influência dos livros didáticos no ensino e questiona a forma como a matemática é apresentada ao público.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim077.pdf,Folhetim077.txt
